split,original_dataset_split,video_id,filename,path,qid,question,answer,duration_sec,size_mb,size_bytes,duration_bucket,size_bucket,stratum
profile,train,-9l1Rh10bO8,-9l1Rh10bO8.mp4,/Users/heng/Movies/videos_sampled/-9l1Rh10bO8.mp4,v_-9l1Rh10bO8_4,what is in front of the person with the red hat,people,91.97424,19.75463104248047,20714232,mid,mid,duration_mid__size_mid
profile,train,-ZBsdK10Trs,-ZBsdK10Trs.mp4,/Users/heng/Movies/videos_sampled/-ZBsdK10Trs.mp4,v_-ZBsdK10Trs_7,what color is the hair of the person in black tshirt,black,49.272744,12.21936321258545,12812931,low,mid,duration_low__size_mid
profile,train,5ssP_EapV9Q,5ssP_EapV9Q.mp4,/Users/heng/Movies/videos_sampled/5ssP_EapV9Q.mp4,v_5ssP_EapV9Q_10,how difficult is playing ice hockey,secondary,101.796281,29.373034477233887,30799859,mid,high,duration_mid__size_high
profile,train,6J45AbWiGIE,6J45AbWiGIE.mp4,/Users/heng/Movies/videos_sampled/6J45AbWiGIE.mp4,v_6J45AbWiGIE_4,what is behind the person in the video,house,121.068844,11.701038360595703,12269428,mid,mid,duration_mid__size_mid
profile,train,8nyOw9vBh2E,8nyOw9vBh2E.mp4,/Users/heng/Movies/videos_sampled/8nyOw9vBh2E.mp4,v_8nyOw9vBh2E_3,does boxing use the brick,no,158.91737,6.456799507141113,6770445,high,low,duration_high__size_low
profile,train,96c3BWVDoq4,96c3BWVDoq4.mp4,/Users/heng/Movies/videos_sampled/96c3BWVDoq4.mp4,v_96c3BWVDoq4_4,what is in front of the person in red clothes,girl,123.669478,7.458521842956543,7820827,mid,mid,duration_mid__size_mid
profile,train,9I4H8O6B7yM,9I4H8O6B7yM.mp4,/Users/heng/Movies/videos_sampled/9I4H8O6B7yM.mp4,v_9I4H8O6B7yM_7,what is the gender of the person in blue clothes,male,139.760907,11.711782455444336,12280694,mid,mid,duration_mid__size_mid
profile,train,9hE6VRD3qXQ,9hE6VRD3qXQ.mp4,/Users/heng/Movies/videos_sampled/9hE6VRD3qXQ.mp4,v_9hE6VRD3qXQ_10,what is the relationship between the three people who are paving cement,colleague,177.098594,19.534576416015625,20483488,high,mid,duration_high__size_mid
profile,train,CXbVcrVgNzQ,CXbVcrVgNzQ.mp4,/Users/heng/Movies/videos_sampled/CXbVcrVgNzQ.mp4,v_CXbVcrVgNzQ_10,how many clothes are the children ironing in the video,2,46.30059,2.737685203552246,2870671,low,low,duration_low__size_low
profile,train,DBGea9pST1A,DBGea9pST1A.mp4,/Users/heng/Movies/videos_sampled/DBGea9pST1A.mp4,v_DBGea9pST1A_7,what color is the person's clothes in the video,black,60.418322,21.670783042907715,22723463,low,high,duration_low__size_high
profile,train,EVtM8DKW4bc,EVtM8DKW4bc.mp4,/Users/heng/Movies/videos_sampled/EVtM8DKW4bc.mp4,v_EVtM8DKW4bc_9,what is the gender of the person in black clothes,male,126.316553,33.732150077819824,35370723,mid,high,duration_mid__size_high
profile,train,EXxckPa76vc,EXxckPa76vc.mp4,/Users/heng/Movies/videos_sampled/EXxckPa76vc.mp4,v_EXxckPa76vc_3,is the person in blue playing football on the table outside,no,70.170703,37.506343841552734,39328252,low,high,duration_low__size_high
profile,train,HZWdMK6zhec,HZWdMK6zhec.mp4,/Users/heng/Movies/videos_sampled/HZWdMK6zhec.mp4,v_HZWdMK6zhec_5,what happened to the old person before he hit the ball,pick up ball,79.574785,3.2176265716552734,3373926,mid,low,duration_mid__size_low
profile,train,IajP-SB2D5c,IajP-SB2D5c.mp4,/Users/heng/Movies/videos_sampled/IajP-SB2D5c.mp4,v_IajP-SB2D5c_5,what happened to the man in the blue vest after he jumped into the bunker,measuring distance,182.067664,42.23388957977295,44285443,high,high,duration_high__size_high
profile,train,J_CJSmMFWlg,J_CJSmMFWlg.mp4,/Users/heng/Movies/videos_sampled/J_CJSmMFWlg.mp4,v_J_CJSmMFWlg_9,how many people are there in the video,6,33.343855,17.44729709625244,18294817,low,mid,duration_low__size_mid
profile,train,KZLEUd2ALVI,KZLEUd2ALVI.mp4,/Users/heng/Movies/videos_sampled/KZLEUd2ALVI.mp4,v_KZLEUd2ALVI_3,is the woman with the braid indoors,no,42.074558,9.6683931350708,10138045,low,mid,duration_low__size_mid
profile,train,KbEoaYhMZ6c,KbEoaYhMZ6c.mp4,/Users/heng/Movies/videos_sampled/KbEoaYhMZ6c.mp4,v_KbEoaYhMZ6c_5,what happened to the person in the video after the carpet was flattened,blanking,44.628753,4.871645927429199,5108291,low,low,duration_low__size_low
profile,train,P-04xkAdWSY,P-04xkAdWSY.mp4,/Users/heng/Movies/videos_sampled/P-04xkAdWSY.mp4,v_P-04xkAdWSY_4,what is in front of the referee,clothes,30.185941,6.371345520019531,6680840,low,low,duration_low__size_low
profile,train,Q_32kySHzCQ,Q_32kySHzCQ.mp4,/Users/heng/Movies/videos_sampled/Q_32kySHzCQ.mp4,v_Q_32kySHzCQ_9,what color is the person's pants in the video,blue,153.39102,11.729974746704102,12299770,high,mid,duration_high__size_mid
profile,train,SBj7yuFEwQI,SBj7yuFEwQI.mp4,/Users/heng/Movies/videos_sampled/SBj7yuFEwQI.mp4,v_SBj7yuFEwQI_8,how many paint cans are there,1,131.819683,17.901691436767578,18771284,mid,mid,duration_mid__size_mid
profile,train,TDROfnEk0NQ,TDROfnEk0NQ.mp4,/Users/heng/Movies/videos_sampled/TDROfnEk0NQ.mp4,v_TDROfnEk0NQ_4,what is behind the person in the video,two towels,220.496689,6.04347038269043,6337038,high,low,duration_high__size_low
profile,train,UUjTMDSUvs0,UUjTMDSUvs0.mp4,/Users/heng/Movies/videos_sampled/UUjTMDSUvs0.mp4,v_UUjTMDSUvs0_10,what kind of cooking pot is it,pan,114.660136,6.777461051940918,7106683,mid,low,duration_mid__size_low
profile,train,W1FmiUTYt3I,W1FmiUTYt3I.mp4,/Users/heng/Movies/videos_sampled/W1FmiUTYt3I.mp4,v_W1FmiUTYt3I_7,what is the shape of the sandwich box,rectangle,121.672562,6.184243202209473,6484649,mid,low,duration_mid__size_low
profile,train,XZZRyOhxQBE,XZZRyOhxQBE.mp4,/Users/heng/Movies/videos_sampled/XZZRyOhxQBE.mp4,v_XZZRyOhxQBE_7,how safe is this sport in the video,danger,66.176871,22.980401039123535,24096697,low,high,duration_low__size_high
profile,train,Z7ZODw0C_hY,Z7ZODw0C_hY.mp4,/Users/heng/Movies/videos_sampled/Z7ZODw0C_hY.mp4,v_Z7ZODw0C_hY_2,is the person in purple outdoors,yes,226.649977,16.92154312133789,17743524,high,mid,duration_high__size_mid
